0,1,2,3,4,5,6,7,8,9,10,11,12,label
-657.2876,104.47521,-30.447998,14.288897,34.638645,-28.960857,8.973249,-8.380917,13.127894,-11.196012,-10.19061,4.364194,0.27576017,0
-607.52374,96.49197,-54.431305,20.471489,35.334167,-13.359526,9.404353,-13.996319,5.788549,-5.791634,-12.211806,0.87019855,1.6275945,0
-586.68304,124.656715,-35.586376,22.495396,31.394714,-10.753448,15.456004,-10.164864,10.098528,-2.2163959,-11.800498,4.2089014,6.0039144,0
-585.4553,127.07078,-37.789158,14.1320305,24.193995,-19.68033,9.787116,-8.689079,7.564278,-4.815651,-9.941629,4.149974,7.4401116,0
-606.8522,91.587006,-33.598885,24.788925,35.374565,-3.962947,4.3333197,-7.076992,3.8833055,-1.538409,-6.7382717,3.3176723,3.639123,0
-627.06793,113.975845,-33.46369,8.359611,38.04943,-8.421604,9.527928,-11.950486,6.288308,-4.700038,-3.5231924,1.2411292,1.7519447,0
-593.76196,122.22669,-38.151714,10.197837,29.630846,-16.354294,3.4435093,-11.250321,2.9927785,-7.2997246,-11.261905,-1.8518013,1.6035991,0
-641.9894,97.16199,-36.665237,5.402538,26.386677,-18.269117,7.4941125,-9.374589,7.279531,-6.3065844,-7.511123,2.6507194,5.1913333,0
-659.76294,98.59488,-30.196728,14.394488,32.378654,-24.04254,12.743552,-10.571769,7.960917,-8.415259,-5.1597724,2.9008389,-0.0019911786,0
-607.59503,112.136696,-44.734154,12.5465975,32.666584,-17.383362,8.684694,-10.090521,4.5614786,-6.363989,-5.5774884,1.1980921,1.6694015,0
-603.2809,125.190414,-33.896378,11.857212,25.835419,-24.667173,7.7380986,-10.023735,2.103292,-8.276992,-7.317395,-1.4685725,2.2741032,0
-638.46875,103.33547,-40.143223,18.681974,35.73425,-16.514286,16.147045,-20.927427,8.806191,-3.9802785,-10.36877,1.0325474,2.6382327,0
-633.3228,100.34858,-42.430984,4.2027164,28.600729,-17.06796,8.868232,-9.525969,2.8607748,-8.921274,-6.1039023,0.44562927,4.7801094,0
-637.44977,104.37636,-24.239517,15.99908,24.238905,-20.048895,11.649634,-8.945802,6.7384605,-4.4895744,-9.94014,-3.072103,6.3288302,0
